heading,bias_true,bias_pred
Senators expect immigration legislation this week; Rubio signals no final agreement yet,Left,Center
Biden Cancels Trip to Rally Dems on Eve of Infrastructure Vote,Center,Neutral
Biden Cancels Trip to Chicago amid Stalled Negotiations over Infrastructure,Right,Neutral
"'Nobody wants to blink:' A canceled trip, deal-less meetings and 24 hours to thread the needle",Left,Center
"Latest White House plan would forgive $10,000 in student debt per borrower",Left,Center
White House says no decision made on student loan forgiveness,Center,Center
Biden eyes $10K student loan debt forgiveness ahead of midterms: report,Right,Neutral
"Netanyahu Slams White House Deal With Iran: “Even If Israel Has to Stand Alone, Israel Will Stand”",Right,Right
Netanyahu warns that nuclear deal ‘paves Iran’s path’ to a bomb,Left,Right
First Take: Netanyahu points to unbridgeable divide,Left,Center
Trump After North Korea Missile Launch: ‘All Options Are On The Table’,Right,Center
"Trump Chides North Korea for Apparent ‘Contempt’ for Neighbors, World",Center,Center
Donald Trump responds to North Korean missile launch by stating that 'All options are on the table',Left,Center
‘Winging It’: Russia Is Getting Its Generals Killed on the Front Lines,Center,Center
Ukraine Confirms Fifth Russian General Has Been Killed,Left,Neutral
Russian general killed after Ukrainian forces destroy command post in Kherson,Right,Neutral
Debbie Wasserman Schultz: Voting for Iran Deal Despite Reservations,Right,Center
Emotional Debbie Wasserman Schultz Backs Iran Nuclear Deal,Center,Center
Debbie Wasserman Schultz Endorses Iran Deal,Left,Center
"Russia destroys bridge over Ukrainian river, cutting escape route",Center,Center
Fears grow for Sievierodonetsk civilians as plant struck and bridge blown up,Left,Center
Russian forces push Ukrainians out of key eastern city,Right,Center
Pelosi Instructs U.S. Athletes To Not ‘Speak Out’ During Olympics Against Communist China’s Genocide,Right,Right
“Kind of a ‘Squid Game’ Vibe”: We Spoke to Olympians About Life Inside the Beijing Bubble,Left,Center
Beijing Olympics: Winter Games start amid Covid and boycotts,Center,Center
"For Reasons Good and Sad, Thanksgiving Is Now Our Greatest Holiday",Right,Center
"Politics really is ruining Thanksgiving, according to data from 10 million cellphones",Left,Center
5 ways to de-escalate family arguments at Thanksgiving,Center,Center
COVID-19 and suicide,Center,Neutral
‘A Year’s Worth of Suicide Attempts in the Last Four Weeks’: California Doctor Calls for End to Lockdown,Right,Right
Will Suicides Rise Because of COVID-19?,Left,Center
Special counsel’s office recommends action against Kellyanne Conway for Hatch Act violation,Right,Center
Kellyanne Conway found to have twice violated law banning use of office for political ends,Left,Right
"Kellyanne Conway Violated Law on Political Expression, Investigators Say",Center,Left
Ted Cruz From Obama’s Open Border: ‘This Is A National Security Crisis’,Right,Right
Ted Cruz Challenges Donald Trump on Immigration at Mexican Border,Center,Center
Presidential Candidates Woo Arizona Voters on Immigration,Left,Center
Jobless claims climb back above 1 million as recovery in U.S. labor market slows,Center,Center
Rise in jobless claims reflects still-struggling US economy,Left,Center
Spike in jobless claims comes after PPP and other pandemic benefits expired,Left,Center
Schumer: 'Trump is a terrible negotiator',Right,Left
McConnell Faces Pressure From Republicans to Stop Avoiding Shutdown Fight,Left,Center
"Trump, Democrats dig in ahead of meeting on government shutdown",Center,Center
Feds: Schools can't shut out undocumented immigrants,Left,Center
Immigration: US Warns Schools Against Bias,Left,Center
No school choice: Holder mandates schools must enroll children of illegal immigrants,Right,Left
"New Hampshire poll shows Bernie Sanders surging, Joe Biden faltering",Right,Left
Election Update: The Polling Picture In New Hampshire Is Actually Pretty Clear,Center,Center
Democratic candidates sharpen attacks in closing days of New Hampshire primary,Left,Left
Warren health care plan pledges no middle class tax increase,Left,Center
Elizabeth Warren finally has a plan for Medicare for All,Left,Left
Warren calls for nearly $9 trillion tax on employers to fund 'Medicare for all',Right,Left
49ers safety on Pence's Colts walkout: 'This is what systemic oppression looks like',Center,Left
The Pence Walkout: Will Someone Tell The NFL They're Fighting A Losing War,Right,Center
"Mike Pence’s NFL ‘Stunt’ In Indianapolis May Have Cost Taxpayers Over $200,000",Left,Center
Details Emerge on Religious Motives of Boston Bomb Suspects and Recent Interest in Chechnya - a Hub of Extremist Saudi Wahhabism,Right,Left
Boston Suspects Are Seen as Self-Taught and Fueled by Web,Left,Center
Bombing suspect's uncle: Friend in Cambridge 'brainwashed him completely',Left,Neutral
"At first Jan. 6 hearing, police to detail violence, injuries",Left,Center
Police who defended U.S. Capitol to testify at riot probe's first hearing,Center,Center
Jan. 6 committee could be final hurrah for Cheney and Kinzinger,Right,Neutral
Asking Congress to Back ISIS Strikes Is Tricky for Obama,Left,Center
Hitting the Brakes? Obama downplays prospect of imminent strikes in Syria,Right,Neutral
Déjà vu for Barack Obama in Syria,Left,Center
This crisis calls for massive government intervention: here's how to do it,Left,Left
Coronavirus Will Be Deadly To Your Liberty,Right,Right
Local government can mobilize us in crisis,Center,Center
"Delay, Deny and Deflect: How Facebook’s Leaders Fought Through Crisis",Left,Center
Facebook-New York Times fight gets ugly: Social network slams newspaper's 'inaccuracies',Right,Center
Facebook cuts ties from firm that linked its critics to George Soros,Center,Left
"Romney sticks by 'victims' comments, but calls them 'off the cuff'",Right,Center
Controversial private fund-raiser video shows candid Romney,Left,Center
Leaked videos show Romney dismissing Obama supporters as feeling entitled to handouts,Left,Center
OPINION: Saudi Arabia’s coming struggle,Left,Center
Death of King Unlikely to Alter Saudi Oil Policy,Center,Center
Death of Saudi King Abdullah brings uncertain new era for US in Middle East,Right,Center
"Trump and Clinton Win New York, Get Closer to General Election Battle",Left,Center
"Trump, Clinton cruise to New York wins, Cruz must rely on contested convention",Right,Center
Donald Trump and Hillary Clinton Win Easily in New York,Left,Neutral
"It’s official! Rand Paul launches 2016 White House bid, plans ambitious 50-state campaign",Right,Center
Rand Paul's decisive moment was 4 years coming,Left,Neutral
Rand Paul Says ‘I Am Running for President’,Left,Center
Arrests at U.S.-Mexico Border This Year Top One Million,Center,Center
Number of attempted crossings at southern U.S. border hits 21-year high,Left,Neutral
"Migrant arrests at southern border rose yet again in June to 188,000, topping 1M this fiscal year",Right,Neutral
"Downstate judge rules Pritzker out of line with stay-at-home – but governor calls suit ‘dangerous,’ ‘insult to all Illinoisans’",Left,Center
Pritzker appeals judge’s ruling against Illinois stay-at-home order,Center,Center
Illinois judge rules against Gov. Pritzker's stay-at-home order in suit brought by GOP lawmaker,Right,Right
U.S. senators clash with Republican leader over protecting Mueller,Center,Center
Mitch McConnell Just Blocked A Bipartisan Bill To Protect Robert Mueller,Left,Right
"Oh, Here We Go: Jeff Flake Holding Up Trump's Judicial Nominees Until Senate Votes On Bill Protecting Mueller Probe",Right,Left
"Biden’s Cancer Remark Referred to Past, White House Says",Right,Center
Here's Why President Biden Just Said He's Been Affected by Cancer,Left,Neutral
Does Joe Biden Have Cancer? President's History With Melanoma Explained,Center,Center
AstraZeneca's COVID vaccine suspended in more countries over low number of blood clots,Left,Center
"Germany, Italy, France suspend AstraZeneca shots amid safety fears, disrupting EU vaccinations",Center,Center
AstraZeneca tries to reassure public after recent COVID vaccine safety concerns,Right,Center
Trump Suggests GOP Needs Until 2018 To Craft ‘Wonderful’ Obamacare Replacement,Left,Center
Republicans begin to grumble: Why haven't we repealed Obamacare yet?,Left,Center
Obamacare sign-ups decline in face of Trump repeal threat,Right,Left
'Path To Citizenship' Part Of Senators' Bipartisan Immigration Plan,Left,Center
"Bipartisan Group Of Senators To Introduce Immigration Plan, Preempt Obama",Left,Center
Bipartisan group of 8 senators reaches deal on immigration changes,Right,Center
Why the Great American Outdoors Act can unite our country,Center,Center
"In An Election Year, 2 Vulnerable GOP Senators Are Suddenly Conservationists",Left,Center
U.S. Senate overwhelmingly passes major conservation bill,Center,Center
Speaker John Boehner retiring from Congress at the end of October,Left,Neutral
"Boehner to resign at end of October, sources say",Right,Neutral
John Boehner To Resign From Congress At End Of October,Left,Neutral
"Bill Cosby admitted to drugging women to have sex, rape accusers say they are vindicated",Right,Center
Bill Cosby admitted to getting drugs to give to women,Left,Neutral
OPINION: How Bill Cosby’s 2004 ‘Pound Cake’ speech exploded into his latest legal disaster,Left,Center
"L.A. County plans to require proof of vaccination at indoor bars, nightclubs, breweries, wineries",Left,Neutral
Los Angeles County to require vaccines in indoor bars,Left,Center
Los Angeles County to Mandate COVID-19 Vaccine Passports: Officials,Right,Neutral
Trump to put North Korea on terrorist list: ‘A murderous regime’,Right,Right
Trump declares North Korea a state sponsor of terrorism,Left,Center
Trump just put North Korea back on the state sponsor of terrorism list,Left,Center
The Falwell affair shows non-monogamy isn't rare — but it does challenge social norms,Left,Center
Jerry Falwell's bizarre marital arrangement was only the least and latest of his sins,Right,Left
"Jerry Falwell Jr. officially resigns as Liberty University president, university confirms",Left,Neutral
Facebook bans ads from The Epoch Times after huge pro-Trump buy,Left,Right
Facebook banned advertisements from The Epoch Times after it bought $1.5 million of Trump ads in 6 months,Left,Center
Facebook bans ads from the Epoch Times,Right,Center
Can Kasich keep up momentum?,Right,Center
Kasich: Bush's campaign is 'freaking out',Left,Center
"John Kasich, No. 2 in New Hampshire, Turns to an Uncertain South Carolina",Left,Center
RNC 2020 opening night ratings on C-SPAN blow away DNC viewership,Right,Center
Democrats beat Republicans in first-night convention TV audience,Center,Center
"G.O.P. TV Ratings Fall Below Democrats, Despite Fox News’s Big Night",Left,Center
The EPA Wants to Get Out of Puddles and Ditches. Environmental Activists Are Outraged.,Right,Left
EPA Proposes Gutting Obama-Era Rule Protecting 117 Million Americans’ Water,Left,Left
Trump moves to relax Obama-era water protections,Center,Right
Will Trade Be Obama's Biggest Bipartisan Achievement?,Left,Center
Five misconceptions about Obama's Asia trade agenda,Center,Center
Obama trade agenda clears key Senate test vote,Right,Neutral
OPINION: Obama should act with restraint on court: Column,Left,Center
Why blocking Obama’s pick to replace Scalia could cost Republicans their Senate majority,Left,Center
Scalia’s death ignites election-year fight over Supreme Court vacancy,Right,Center
Robert Mueller just flipped his third former Trump aide,Left,Neutral
Former Trump adviser pleads guilty in Mueller probe,Center,Center
Former Trump campaign aide Rick Gates pleads guilty to conspiracy and lying to the FBI,Right,Neutral
Facebook Whistleblower’s Testimony Builds Momentum for Tougher Tech Laws,Center,Center
Facebook whistleblower Frances Haugen blasts tech giant on Capitol Hill,Right,Center
Whistleblower to Senate: Don't trust Facebook,Left,Center
"FDA review clears path for second coronavirus vaccine, this one developed by Moderna",Left,Center
FDA staff endorses emergency use of Moderna’s Covid vaccine in a critical step toward approval,Center,Center
FDA finds Moderna coronavirus vaccine is effective and safe,Right,Center
Terror suspect sets off pipe bomb in underground subway passage near Port Authority Bus Terminal,Left,Center
NYPD identifies bombing suspect as Akayed Ullah,Right,Center
New York Port Authority attack: Man held after Manhattan blast,Center,Center
'Trump University' Documents Put On Display Aggressive Sales Techniques,Left,Center
"Trump University ‘Playbooks’ Unsealed in Lawsuit: ‘You Don’t Sell Products, Benefits or Solutions — You Sell Feelings’",Right,Neutral
The Art of the Swindle,Left,Center
Nunes: I’m Staying Put,Right,Center
House Democrats Ask Devin Nunes to Recuse Himself From Russia Inquiry,Left,Left
Calls grow for Nunes to step aside in Russia probe,Left,Center
Holiday Table Conversations,Center,Center
Some Opt to Pass on Thanksgiving Politics,Left,Center
Through the Looking Glass,Right,Center
5 things about the controversy surrounding AG Eric Holder,Left,Center
Holder Faces New Round of Criticism After Leak Inquiries,Left,Center
Holder runs into roadblocks on off-the-record meetings with news organizations,Right,Center
White House rebukes Trump after he calls on Putin to smear Hunter Biden,Left,Center
Trump asks Putin to provide dirt on Hunter Biden as war in Ukraine rages,Right,Right
Video of Trump Asking Putin for Favor Viewed 1.6M Times. Here's What He Said,Center,Neutral
"Graham, Booker writing bill to prevent Trump from firing special counsel",Center,Left
Graham to Introduce Legislation to Make it Hard for Trump to Fire Mueller,Right,Center
Lindsey Graham: Firing Mueller Could Be ‘Beginning Of The End Of The Trump Presidency’,Left,Center
"U.S. Loses Track of Another 1,500 Migrant Children, Investigators Find",Left,Center
"Another 1,500 unaccompanied immigrant children have been lost under the Trump administration",Right,Left
"Trump admin unable to account for another 1,500 migrant children: report",Center,Center
"White supremacists chant 'closed borders, white nation' in 'White Lives Matter' march",Center,Left
‘White Lives Matter’ organizers cancel second rally after taunts from counterprotesters,Left,Center
Overwhelming Presence of Tennessee Law Enforcement Ensures Peaceful ‘White Lives Matter’ Rally in Murfreesboro,Right,Center
"Democrats Tell Court: More Impeachment Articles, Maybe, if Trump Lawyer Testifies",Right,Center
House lawyers open door to more articles of impeachment,Center,Center
Impeachment 2? House lawyers say more charges possible,Left,Center
Trump Mocks Christine Blasey Ford at Mississippi Rally,Center,Right
Bipartisan backlash to Trump mocking Kavanaugh accuser Christine Blasey Ford,Right,Center
‘He chose to blow it’: A rare dissent from the couch of ‘Fox & Friends’ after Trump attacks Ford,Left,Left
Nixon orders withdrawal of National Guard from Ferguson,Right,Neutral
Governor Orders Withdrawal of National Guard From Ferguso,Center,Neutral
Missouri National Guard to Withdraw From Ferguson as Tensions Ease,Left,Neutral
Hungary shuts key refugee route amid widening clampdowns across Europe,Left,Center
Hungary to deploy army to stop migrants at border,Right,Right
